Text,text,compound,negative,neutral,positive,sentiment
It also turned in earnings per share ( EPS ) of EUR 0.44 versus loss per share of EUR 2.26 .,It also turned in earnings per share ( EPS ) of EUR 0.44 versus loss per share of EUR 2.26 .,0.2732,0.106,0.691,0.203,positive
"Janno Reiljan , a member of the Eesti Energia supervisory board , said the owners of Narva Power Grid had informed Eesti Energia about their wish to sell .","Janno Reiljan , a member of the Eesti Energia supervisory board , said the owners of Narva Power Grid had informed Eesti Energia about their wish to sell .",0.4019,0.0,0.899,0.101,positive
"The antibody , administered at repeated doses of up to 8 mg-kg , was generally well tolerated , and the pharmacokinetic characteristics of BTT-1023 in psoriasis patients were consistent with those observed in a previously completed study in rheumatoid arthritis RA patients .","The antibody , administered at repeated doses of up to 8 mg-kg , was generally well tolerated , and the pharmacokinetic characteristics of BTT-1023 in psoriasis patients were consistent with those observed in a previously completed study in rheumatoid arthritis RA patients .",0.2732,0.0,0.945,0.055,positive
"In a media advisory , the NTSB said that after subsequent testing , `` the train detection system intermittently failed . ''","In a media advisory , the NTSB said that after subsequent testing , `` the train detection system intermittently failed . ''",-0.5106,0.163,0.837,0.0,negative
"According to Honka Japan 's Managing Director Marko Saarelainen , Honkarakenne exports about 200 ready made log houses to Japan a year .","According to Honka Japan 's Managing Director Marko Saarelainen , Honkarakenne exports about 200 ready made log houses to Japan a year .",0.3612,0.0,0.884,0.116,positive
"Below are consolidated , unaudited results for Amanda Capital under IFRS reporting standards .","Below are consolidated , unaudited results for Amanda Capital under IFRS reporting standards .",0.0,0.0,1.0,0.0,neutral
The Finnish daily Kauppalehti surmises that Finnish supplier Rautaruukki has raised its prices above Aker 's comfort zone .,The Finnish daily Kauppalehti surmises that Finnish supplier Rautaruukki has raised its prices above Aker 's comfort zone .,0.3612,0.0,0.872,0.128,positive
"Tornio Works employs 2,300 of whom more than 1,800 have been in the scope of the fixed-period or part-time temporary layoffs in April-October period .","Tornio Works employs 2,300 of whom more than 1,800 have been in the scope of the fixed-period or part-time temporary layoffs in April-October period .",0.0,0.0,1.0,0.0,neutral
The result before taxes was a loss of 25.0 million euros .,The result before taxes was a loss of 25.0 million euros .,-0.3182,0.204,0.796,0.0,negative
BHP Billiton drags FTSE lower after slashing dividend,BHP Billiton drags FTSE lower after slashing dividend,-0.6124,0.545,0.455,0.0,negative
"Alma Media holds 70 % of this company , the remaining shares being owned by the company 's key employees .","Alma Media holds 70 % of this company , the remaining shares being owned by the company 's key employees .",0.296,0.0,0.885,0.115,positive
"It is a member of the OneWorld alliance , which includes American Airlines and British Airways .","It is a member of the OneWorld alliance , which includes American Airlines and British Airways .",0.0,0.0,1.0,0.0,neutral
"Many of the commercial vessels had got stuck in the narrow Bay of Bothnia , where the ice is thicker , and around the Aaland islands .","Many of the commercial vessels had got stuck in the narrow Bay of Bothnia , where the ice is thicker , and around the Aaland islands .",-0.25,0.08,0.92,0.0,negative
"Following the acquisition , Relacom will strengthen its presence in Finland , serving operators and office market with mobile and fixed networks construction , installation and maintenance services .","Following the acquisition , Relacom will strengthen its presence in Finland , serving operators and office market with mobile and fixed networks construction , installation and maintenance services .",0.3182,0.0,0.913,0.087,positive
Ponsse projects the forest machine markets to improve more than expected in 2010 from the previous year .,Ponsse projects the forest machine markets to improve more than expected in 2010 from the previous year .,0.4404,0.0,0.847,0.153,positive
"Ahlstrom Corporation Anne Pirila Director , Financial communications Distribution : Helsinki Stock Exchange Main media Ahlstrom in brief Ahlstrom is a leader in the development , manufacture and marketing of high performance fiber-based materials .","Ahlstrom Corporation Anne Pirila Director , Financial communications Distribution : Helsinki Stock Exchange Main media Ahlstrom in brief Ahlstrom is a leader in the development , manufacture and marketing of high performance fiber-based materials .",0.0,0.0,1.0,0.0,neutral
1 February 2011 - Finnish textile and clothing company Marimekko Oyj HEL : MMO1V said today its preliminary operating profit grew to EUR8 .2 m in 2010 from EUR6 .3 m in 2009 .,1 February 2011 - Finnish textile and clothing company Marimekko Oyj HEL : MMO1V said today its preliminary operating profit grew to EUR8 .2 m in 2010 from EUR6 .3 m in 2009 .,0.4404,0.0,0.903,0.097,positive
"The price of raw material aluminium went up at the end of 2005 , but the company considers its outlook for 2006 favourable .","The price of raw material aluminium went up at the end of 2005 , but the company considers its outlook for 2006 favourable .",0.0,0.0,1.0,0.0,neutral
volatility squeeze in $AAPL. I hope it gets resolved to the upside,volatility squeeze in $AAPL. I hope it gets resolved to the upside,0.5574,0.0,0.662,0.338,positive
"Ramirent 's net sales in the second quarterended June 30 were EURO 128.7 million about U.S. $ 163 million , a 3.3-percent increase compared with EURO 124.6 million for thesecond quarter last year .","Ramirent 's net sales in the second quarterended June 30 were EURO 128.7 million about U.S. $ 163 million , a 3.3-percent increase compared with EURO 124.6 million for thesecond quarter last year .",0.3182,0.0,0.927,0.073,positive
"Fortum holds 90.2 pct of the share capital and 94.4 pct of the voting rights in the company , which it now plans to delist from the Warsaw Stock Exchange .","Fortum holds 90.2 pct of the share capital and 94.4 pct of the voting rights in the company , which it now plans to delist from the Warsaw Stock Exchange .",0.2732,0.036,0.891,0.073,positive
"OTHER  North-Rhine Westphalia - Is to issue a benchmark , 5 year fixed rate deal in Euros .","OTHER  North-Rhine Westphalia - Is to issue a benchmark , 5 year fixed rate deal in Euros .",0.0,0.0,1.0,0.0,neutral
"F-Secure reported that : - The first half of 2008 has seen a growing number of targeted malware attacks on individuals , companies , and organizations .","F-Secure reported that : - The first half of 2008 has seen a growing number of targeted malware attacks on individuals , companies , and organizations .",-0.2263,0.121,0.753,0.126,negative
$YELP wayyy overvalued right now IMO. Should be trading single digits. May take a short pos. into earnings. Near term target 18 ......,$YELP wayyy overvalued right now IMO. Should be trading single digits. May take a short pos. into earnings. Near term target 18 ......,0.0,0.0,1.0,0.0,neutral
"As a domestic business , Best-In is already close to Finnish dog owners .","As a domestic business , Best-In is already close to Finnish dog owners .",0.0,0.0,1.0,0.0,neutral
"The donations are granted to Aalto University and the universities of Helsinki , Tampere , Turku , Eastern Finland , Jyv+ñskyl+ñ , Oulu and Vaasa , and to polytechnics to be announced later .","The donations are granted to Aalto University and the universities of Helsinki , Tampere , Turku , Eastern Finland , Jyv+ñskyl+ñ , Oulu and Vaasa , and to polytechnics to be announced later .",0.25,0.0,0.929,0.071,positive
"Neste Oil extended yesterday 's gains and put on 0.49 pct to 22.72 eur , while utility Fortum shed 1.14 pct to 20.76 eur .","Neste Oil extended yesterday 's gains and put on 0.49 pct to 22.72 eur , while utility Fortum shed 1.14 pct to 20.76 eur .",0.34,0.0,0.902,0.098,positive
@scottrade Why is $tsla not available for shorting at this time?  Same for $w?,@scottrade Why is $tsla not available for shorting at this time?  Same for $w?,0.0,0.0,1.0,0.0,neutral
"Finnish Neste Oil that was previously on the list , has fallen off the list completely .","Finnish Neste Oil that was previously on the list , has fallen off the list completely .",-0.3612,0.152,0.848,0.0,negative
The webcast may be followed online on the company website at www.ruukki.com/investors .,The webcast may be followed online on the company website at www.ruukki.com/investors .,0.0,0.0,1.0,0.0,neutral
YIT says the acquisition is a part of its strategy for expansion in Central and Eastern European markets .,YIT says the acquisition is a part of its strategy for expansion in Central and Eastern European markets .,0.0,0.0,1.0,0.0,neutral
"The Hayward , Calif.-based target designs active , casual and dress footwear , as well as boots and sandals .","The Hayward , Calif.-based target designs active , casual and dress footwear , as well as boots and sandals .",0.6808,0.0,0.663,0.337,positive
"It s an area that is highly valued , because most of the land there has already been built on .","It s an area that is highly valued , because most of the land there has already been built on .",0.4927,0.0,0.842,0.158,positive
"There are companies , which are ready to invest their own funds in this deal such as Rostelecom RTS : RTKM .","There are companies , which are ready to invest their own funds in this deal such as Rostelecom RTS : RTKM .",0.3612,0.0,0.878,0.122,positive
QPR product family is fully compatible with Microsoft 's Windows 7 operating system .,QPR product family is fully compatible with Microsoft 's Windows 7 operating system .,0.0,0.0,1.0,0.0,neutral
"The address location is provided to a local controller , preferably by wireless transmission , which then uses the address location to access the appliance control module .","The address location is provided to a local controller , preferably by wireless transmission , which then uses the address location to access the appliance control module .",0.0,0.0,1.0,0.0,neutral
It will use the proceeds from the transaction to achieve its target .,It will use the proceeds from the transaction to achieve its target .,0.0,0.0,1.0,0.0,neutral
@CH_Roark: $UNXL I like this Ascending Triangle on the 30-minute chart. Breakout coming Monday! http://stks.co/aT3GLooks promising.,@CH_Roark: $UNXL I like this Ascending Triangle on the 30-minute chart. Breakout coming Monday! http://stks.co/aT3GLooks promising.,0.6696,0.0,0.703,0.297,positive
"Profit before taxes was EUR 4.0 mn , down from EUR 4.9 mn .","Profit before taxes was EUR 4.0 mn , down from EUR 4.9 mn .",0.4404,0.0,0.791,0.209,positive
"`` We are very pleased to be working with Fujitsu and NTT DoCoMo to advance the progress of LTE , '' said Juergen Walter , Head of Converged Core , Nokia Siemens Networks .","`` We are very pleased to be working with Fujitsu and NTT DoCoMo to advance the progress of LTE , '' said Juergen Walter , Head of Converged Core , Nokia Siemens Networks .",0.7178,0.0,0.824,0.176,positive
"When this information was released on 5 September 2008 , Nokia 's American Depositary shares fell by 8 % .","When this information was released on 5 September 2008 , Nokia 's American Depositary shares fell by 8 % .",0.296,0.0,0.864,0.136,positive
All Amer Sports companies develop and manufacture technically advanced products that improve the performance of active sports participants .,All Amer Sports companies develop and manufacture technically advanced products that improve the performance of active sports participants .,0.765,0.0,0.664,0.336,positive
The company pledged that the new software would render e-mails and other documents much as they appear on desktop computers .,The company pledged that the new software would render e-mails and other documents much as they appear on desktop computers .,0.0,0.0,1.0,0.0,neutral
"Rory Fitzgerald , general manager , operations , Bristol Port , said : `` With the use of low maintenance technology we can save up to 30 per cent on servicing , plus the load sensing hydraulics can save us an extra 15 to 30 per cent on fuel consumption . ''","Rory Fitzgerald , general manager , operations , Bristol Port , said : `` With the use of low maintenance technology we can save up to 30 per cent on servicing , plus the load sensing hydraulics can save us an extra 15 to 30 per cent on fuel consumption . ''",0.6486,0.042,0.832,0.127,positive
Kingfisher takeover of Mr Bricolage could hit a brick wall,Kingfisher takeover of Mr Bricolage could hit a brick wall,0.0,0.0,1.0,0.0,neutral
"( ADPnews ) - May 4 , 2010 - Finnish cutlery and hand tools maker Fiskars Oyj Abp ( HEL : FISAS ) said today its net profit declined to EUR 12.9 million ( USD 17m ) in the first quarter of 2010 from EUR 17 million in the correspond","( ADPnews ) - May 4 , 2010 - Finnish cutlery and hand tools maker Fiskars Oyj Abp ( HEL : FISAS ) said today its net profit declined to EUR 12.9 million ( USD 17m ) in the first quarter of 2010 from EUR 17 million in the correspond",0.7269,0.0,0.858,0.142,positive
"Frost sold shares for $ 19 million at $ 6.06-7 .12 per share , compared with Friday 's high of $ 11.33 and low of $ 10.14 .","Frost sold shares for $ 19 million at $ 6.06-7 .12 per share , compared with Friday 's high of $ 11.33 and low of $ 10.14 .",0.3182,0.082,0.745,0.173,positive
"According to preliminary data from Slovakia 's Statistics Office , goods worth E36 .4 million were imported from Finland between January and October 2010 , making up 0.1 percent of Slovakia 's total imports .","According to preliminary data from Slovakia 's Statistics Office , goods worth E36 .4 million were imported from Finland between January and October 2010 , making up 0.1 percent of Slovakia 's total imports .",0.2263,0.0,0.942,0.058,positive
Niam offer financial investors a high return via investments in funds that in turn invest in all types of properties .,Niam offer financial investors a high return via investments in funds that in turn invest in all types of properties .,0.0,0.0,1.0,0.0,neutral
$AVGO great growth stk &  also raised dividend . clearly a great investment http://stks.co/r2F3h,$AVGO great growth stk &  also raised dividend . clearly a great investment http://stks.co/r2F3h,0.926,0.0,0.341,0.659,positive
SKF 6 April 2010 - Alandsbanken has given a `` buy '' recommendation on Swedish industrial company SKF AB ( STO : SKF B ) with a share price target of SEK150 .,SKF 6 April 2010 - Alandsbanken has given a `` buy '' recommendation on Swedish industrial company SKF AB ( STO : SKF B ) with a share price target of SEK150 .,0.296,0.0,0.913,0.087,positive
"Trading code : ELI1V Number of shares : 99,483 Price-share : Gratuitous After the transfer , Elisa holds a total of 10,435,023 own shares .","Trading code : ELI1V Number of shares : 99,483 Price-share : Gratuitous After the transfer , Elisa holds a total of 10,435,023 own shares .",0.5719,0.0,0.737,0.263,positive
The deal is subject to approval by the Norwegian competition authorities .,The deal is subject to approval by the Norwegian competition authorities .,0.4767,0.0,0.763,0.237,positive
Fortum had intended to spend as much as ( EURO ) 2.7 bn to become the sole owner of TGK-10 .,Fortum had intended to spend as much as ( EURO ) 2.7 bn to become the sole owner of TGK-10 .,0.0,0.0,1.0,0.0,neutral
"The period 's sales dropped to EUR 30.6 million from EUR 38.3 million , according to the interim report , released today .","The period 's sales dropped to EUR 30.6 million from EUR 38.3 million , according to the interim report , released today .",0.0,0.0,1.0,0.0,neutral
The solutions will be used for upgrading the networks of a Russian MSO in 37 different cities in Russia .,The solutions will be used for upgrading the networks of a Russian MSO in 37 different cities in Russia .,0.1779,0.0,0.909,0.091,positive
`` The combined activities will create value for shareholders and be good for our employees and customers .,`` The combined activities will create value for shareholders and be good for our employees and customers .,0.7506,0.0,0.654,0.346,positive
He confirmed his view on July 6 .,He confirmed his view on July 6 .,0.0,0.0,1.0,0.0,neutral
Glencore blames rivals for creating metals glut,Glencore blames rivals for creating metals glut,-0.128,0.273,0.505,0.222,negative
Estonia 's beer market overall grew three percent last year to 130 million liters .,Estonia 's beer market overall grew three percent last year to 130 million liters .,0.0,0.0,1.0,0.0,neutral
"The business transfer will take effect from 1 January 2007 , and in connection with this 47 employees will transfer from Elisa to Daxtum as continuing employees .","The business transfer will take effect from 1 January 2007 , and in connection with this 47 employees will transfer from Elisa to Daxtum as continuing employees .",0.0,0.0,1.0,0.0,neutral
"LLC , a voice and data management solution provider to wireless companies with operations worldwide , will be transferring its U.S. deployment operations to the Finnish mobile giant , which includes civil works and site acquisition services .","LLC , a voice and data management solution provider to wireless companies with operations worldwide , will be transferring its U.S. deployment operations to the Finnish mobile giant , which includes civil works and site acquisition services .",0.3182,0.0,0.933,0.067,positive
The company will also be compensated for acting as a reserve batch plant .,The company will also be compensated for acting as a reserve batch plant .,0.0,0.0,1.0,0.0,neutral
@asdfLLC. Nice pop today. Told ya we would be green haha. Funny you bring that up. I'm actually working on a story about $NOK at the moment,@asdfLLC. Nice pop today. Told ya we would be green haha. Funny you bring that up. I'm actually working on a story about $NOK at the moment,0.8271,0.0,0.726,0.274,positive
"Cerberus Capital Management LP-backed printing paper maker NewPage Corp. has posted mixed second-quarter results , casting a cloud over its planned initial public offering .","Cerberus Capital Management LP-backed printing paper maker NewPage Corp. has posted mixed second-quarter results , casting a cloud over its planned initial public offering .",0.0,0.0,1.0,0.0,neutral
$INO back in this am small post,$INO back in this am small post,0.0,0.0,1.0,0.0,neutral
"`` Because we 're a pension insurance company , we 're required to diversify and not put too much in one asset class .","`` Because we 're a pension insurance company , we 're required to diversify and not put too much in one asset class .",0.3612,0.0,0.889,0.111,positive
"`` P&O Ferries now has a very efficient and powerful vessel for its Dover to Calais route , '' head of the shipbuilder 's Rauma yard , Timo Suistio , said .","`` P&O Ferries now has a very efficient and powerful vessel for its Dover to Calais route , '' head of the shipbuilder 's Rauma yard , Timo Suistio , said .",0.7316,0.0,0.802,0.198,positive
"$pcln back over ""up"" trendline from 10/4","$pcln back over ""up"" trendline from 10/4",0.0,0.0,1.0,0.0,neutral
"( ADP News ) - Feb 12 , 2009 - Finnish construction company Lemminkainen Oyj ( HEL : LEM1S ) said today its net profit decreased to EUR 63.5 million ( USD 81.1 m ) for 2008 from EUR 80.6 million for 2007 .","( ADP News ) - Feb 12 , 2009 - Finnish construction company Lemminkainen Oyj ( HEL : LEM1S ) said today its net profit decreased to EUR 63.5 million ( USD 81.1 m ) for 2008 from EUR 80.6 million for 2007 .",0.4404,0.0,0.914,0.086,positive
"Only this time , Nokia , India 's largest MNC , has sought out a topic that could spark off a million approaches ` Creativity in Emerging Markets .","Only this time , Nokia , India 's largest MNC , has sought out a topic that could spark off a million approaches ` Creativity in Emerging Markets .",0.5423,0.0,0.816,0.184,positive
I don't see it. 200 day sma is the big hurdle. There is a good base building. $NFLX  https://t.co/ImKYGO2cyc,I don't see it. 200 day sma is the big hurdle. There is a good base building. $NFLX  https://t.co/ImKYGO2cyc,0.4404,0.0,0.847,0.153,positive
Autotank Group is part of Aspo 's Systems Division .,Autotank Group is part of Aspo 's Systems Division .,0.0,0.0,1.0,0.0,neutral
"In a media advisory , the NTSB said that after subsequent testing , `` the train detection system intermittently failed . ''","In a media advisory , the NTSB said that after subsequent testing , `` the train detection system intermittently failed . ''",-0.5106,0.163,0.837,0.0,negative
"Wartsila won the contract in October 2007 and the plant will be installed at Manturovo in the Kostroma region of Russia , about 600 km northeast of Moscow , Russia .","Wartsila won the contract in October 2007 and the plant will be installed at Manturovo in the Kostroma region of Russia , about 600 km northeast of Moscow , Russia .",0.5719,0.0,0.879,0.121,positive
Elisa has commissioned Finland 's Poyry Telecom Oy to conduct a study of reception in some of Estonia 's largest cities besides Tallinn .,Elisa has commissioned Finland 's Poyry Telecom Oy to conduct a study of reception in some of Estonia 's largest cities besides Tallinn .,0.0,0.0,1.0,0.0,neutral
Fortum also has a blocking stake in Northwestern TGK-1 .,Fortum also has a blocking stake in Northwestern TGK-1 .,-0.3818,0.271,0.729,0.0,negative
It will report full-year results on August 22 .,It will report full-year results on August 22 .,0.0,0.0,1.0,0.0,neutral
It has been agreed with the company 's Board of Directors that she will be available in an advisory role .,It has been agreed with the company 's Board of Directors that she will be available in an advisory role .,0.2732,0.0,0.9,0.1,positive
"Kaupthing forecasts that Finnish-Swedish Stora Enso will close its mill in Reisholz , in Germany .","Kaupthing forecasts that Finnish-Swedish Stora Enso will close its mill in Reisholz , in Germany .",0.0,0.0,1.0,0.0,neutral
"Finnish silicon wafer technology company Okmetic Oyj ( OMX Helsinki : OKM1V ) reported on Thursday ( 7 August ) an operating profit of EUR5 .3 m for the period January-June 2008 , up from EUR3 .3 m in the corresponding period in 2007 .","Finnish silicon wafer technology company Okmetic Oyj ( OMX Helsinki : OKM1V ) reported on Thursday ( 7 August ) an operating profit of EUR5 .3 m for the period January-June 2008 , up from EUR3 .3 m in the corresponding period in 2007 .",0.4404,0.0,0.921,0.079,positive
`` Ruukki is now included on DJSI World for the second year running and the European DJSI STOXX for the third year running .,`` Ruukki is now included on DJSI World for the second year running and the European DJSI STOXX for the third year running .,0.0,0.0,1.0,0.0,neutral
New Credit Suisse boss faces stiff challenge in Asia,New Credit Suisse boss faces stiff challenge in Asia,0.4404,0.0,0.642,0.358,positive
"Operating loss totalled EUR 5.2 mn , compared to a loss of EUR 3.4 mn in the corresponding period in 2008-2009 .","Operating loss totalled EUR 5.2 mn , compared to a loss of EUR 3.4 mn in the corresponding period in 2008-2009 .",-0.5574,0.213,0.787,0.0,negative
"Operating profit was EUR -0.1 mn , down from EUR 1.3 mn .","Operating profit was EUR -0.1 mn , down from EUR 1.3 mn .",0.4404,0.0,0.775,0.225,positive
Russia 's Video International Group holds a controlling stake in Russian Media Ventures .,Russia 's Video International Group holds a controlling stake in Russian Media Ventures .,0.0,0.0,1.0,0.0,neutral
Earnings per share ( EPS ) amounted to a loss of EUR0 .05 .,Earnings per share ( EPS ) amounted to a loss of EUR0 .05 .,-0.0258,0.184,0.64,0.176,neutral
"SiriusXM added 465,000 net new subscribers in the first quarter of 2016 $SIRI #CEO #sales #marketresearch #tech #entrepreneur #Speaker","SiriusXM added 465,000 net new subscribers in the first quarter of 2016 $SIRI #CEO #sales #marketresearch #tech #entrepreneur #Speaker",0.0,0.0,1.0,0.0,neutral
"Through the Nordic Exchange , OMX offers access to approximately 80 percent of the Nordic and Baltic securities market .","Through the Nordic Exchange , OMX offers access to approximately 80 percent of the Nordic and Baltic securities market .",0.296,0.0,0.885,0.115,positive
"The Group 's business sectors are Building Construction , Infrastructure Construction , Technical Building Services , and Building Products .","The Group 's business sectors are Building Construction , Infrastructure Construction , Technical Building Services , and Building Products .",0.0,0.0,1.0,0.0,neutral
"Thanksto improvements in demand and the adjustments we have made , theutilization rates of Cramo 's fleet have substantiallyimproved . ''","Thanksto improvements in demand and the adjustments we have made , theutilization rates of Cramo 's fleet have substantiallyimproved . ''",0.2023,0.072,0.817,0.111,positive
"For 2009 , net profit was EUR3m and the company paid a dividend of EUR1 .30 apiece .","For 2009 , net profit was EUR3m and the company paid a dividend of EUR1 .30 apiece .",0.4404,0.0,0.828,0.172,positive
FDA approves Shire's Vyvanse for binge-eating disorder,FDA approves Shire's Vyvanse for binge-eating disorder,0.0,0.26,0.481,0.26,neutral
Micron Shares Pounded On Fears Of Loss Of Business From Apple; Stifel Defends $AAPL $MU http://stks.co/t1Z8T @Marjo,Micron Shares Pounded On Fears Of Loss Of Business From Apple; Stifel Defends $AAPL $MU http://stks.co/t1Z8T @Marjo,-0.4404,0.239,0.657,0.103,negative
Finnish office supplies and computer accessories dealer Beltton-Group Plc said its net profit rose to 1.3 mln euro ( $ 1.7 mln ) in 2006 from 1.13 mln euro ( $ 1.5 mln ) in 2005 .,Finnish office supplies and computer accessories dealer Beltton-Group Plc said its net profit rose to 1.3 mln euro ( $ 1.7 mln ) in 2006 from 1.13 mln euro ( $ 1.5 mln ) in 2005 .,0.4404,0.0,0.909,0.091,positive
UPDATE 1-Berkshire applies to boost Wells Fargo stake above 10 pct,UPDATE 1-Berkshire applies to boost Wells Fargo stake above 10 pct,0.5719,0.0,0.657,0.343,positive
The use of validation rule base enables verifying that processing rule bases managed by different administrators fulfil some set requirements .,The use of validation rule base enables verifying that processing rule bases managed by different administrators fulfil some set requirements .,0.0,0.0,1.0,0.0,neutral
"Finnish Exel Composites , a technology company that designs , manufactures , and markets composite profiles and tubes for various industrial applications , reports its net sales decreased by 0.6 % in the second quarter of 2010 to EUR 19.2 mn from EUR 19.3 mn in the corresponding period in 2009 .","Finnish Exel Composites , a technology company that designs , manufactures , and markets composite profiles and tubes for various industrial applications , reports its net sales decreased by 0.6 % in the second quarter of 2010 to EUR 19.2 mn from EUR 19.3 mn in the corresponding period in 2009 .",0.0,0.0,1.0,0.0,neutral
"National Conciliator Juhani Salonius , who met both parties on Wednesday , said they were too far apart in their views for him to propose mediation .","National Conciliator Juhani Salonius , who met both parties on Wednesday , said they were too far apart in their views for him to propose mediation .",0.4019,0.0,0.895,0.105,positive
Long $X 24.62,Long $X 24.62,0.0,0.0,1.0,0.0,neutral
"The number of class A shares remains unchanged at 9,526,089 shares .","The number of class A shares remains unchanged at 9,526,089 shares .",0.5719,0.0,0.551,0.449,positive
Operating profit fell to EUR 6.2 mn from EUR 8.5 mn in the third quarter of 2007 .,Operating profit fell to EUR 6.2 mn from EUR 8.5 mn in the third quarter of 2007 .,0.4404,0.0,0.847,0.153,positive
The pipeline is strong .,The pipeline is strong .,0.5106,0.0,0.476,0.524,positive
Implementation of the project will be carried out by the Finnish company YIT in association with the investment fund Evli Property Investment Russia ( EPI ) .,Implementation of the project will be carried out by the Finnish company YIT in association with the investment fund Evli Property Investment Russia ( EPI ) .,0.0,0.0,1.0,0.0,neutral
The Extraordinary General Meeting is expected to take place no later than 18 February 2011 .,The Extraordinary General Meeting is expected to take place no later than 18 February 2011 .,-0.296,0.136,0.864,0.0,negative
"Rautalinko was resposnible also for Mobility Services , and his job in this division will be continued by Marek Hintze .","Rautalinko was resposnible also for Mobility Services , and his job in this division will be continued by Marek Hintze .",0.0,0.0,1.0,0.0,neutral
"Operating result showed a loss of EUR 2.9 mn , while a year before , it showed a profit of EUR 0.6 mn .","Operating result showed a loss of EUR 2.9 mn , while a year before , it showed a profit of EUR 0.6 mn .",0.1531,0.108,0.755,0.137,positive
"( ADP News ) - Dec 11 , 2008 - Finnish construction and engineering company Outotec Oyj ( OMX : OTE1V ) said today it won a EUR 28 million ( USD 36.8 m ) order to expand the phosphate concentrator in Siilinjarvi of Norwegian minera","( ADP News ) - Dec 11 , 2008 - Finnish construction and engineering company Outotec Oyj ( OMX : OTE1V ) said today it won a EUR 28 million ( USD 36.8 m ) order to expand the phosphate concentrator in Siilinjarvi of Norwegian minera",0.7184,0.0,0.842,0.158,positive
"In the method the smelt spouts 2 are separated from the working area 6 by a shielding wall 8 , 10 arranged movable in relation to the smelt spouts .","In the method the smelt spouts 2 are separated from the working area 6 by a shielding wall 8 , 10 arranged movable in relation to the smelt spouts .",0.0,0.0,1.0,0.0,neutral
"Kesko 's car import and retailing business , VV-Auto , saw sales grow by 17.1 pct .","Kesko 's car import and retailing business , VV-Auto , saw sales grow by 17.1 pct .",0.0,0.0,1.0,0.0,neutral
"Pretax profit rose to EUR 1,019 mn from EUR 1,007 in the corresponding period in 2005 .","Pretax profit rose to EUR 1,019 mn from EUR 1,007 in the corresponding period in 2005 .",0.4404,0.0,0.838,0.162,positive
$COH Gaining Momentum! Nice buy signals here! Long Over $35.92 http://stks.co/t0tAh,$COH Gaining Momentum! Nice buy signals here! Long Over $35.92 http://stks.co/t0tAh,0.7339,0.0,0.593,0.407,positive
"Investors will continue being interested in the company 's share although it is not quite cheap , Affarsvarlden said .","Investors will continue being interested in the company 's share although it is not quite cheap , Affarsvarlden said .",0.5994,0.0,0.766,0.234,positive
"$SLW is down, but weekly $34 calls (-28.95%), .23 x .25 have 321 volume. Worth a chance here, jmho: http://stks.co/1Qfg","$SLW is down, but weekly $34 calls (-28.95%), .23 x .25 have 321 volume. Worth a chance here, jmho: http://stks.co/1Qfg",0.5927,0.0,0.767,0.233,positive
He is a member of the Board of numerous com-panies and a shareholder of the Boardman Ltd board specialist net-work .,He is a member of the Board of numerous com-panies and a shareholder of the Boardman Ltd board specialist net-work .,0.0,0.0,1.0,0.0,neutral
Finnish Vacon has signed significant deals with Norwegian Scandinavian Electric Systems ( SES ) on the supply of AC drives .,Finnish Vacon has signed significant deals with Norwegian Scandinavian Electric Systems ( SES ) on the supply of AC drives .,0.2023,0.0,0.904,0.096,positive
"Finnish Kemira Group 's CEO , Lasse Kurkilahti , says the Group 's structural reorganisation will continue for at least a year .","Finnish Kemira Group 's CEO , Lasse Kurkilahti , says the Group 's structural reorganisation will continue for at least a year .",0.0,0.0,1.0,0.0,neutral
"At 12.01 pm , the OMX Helsinki 25 was down 0.66 pct to 3,143.57 and the OMX Helsinki was 0.67 pct lower at 10,530.74 on 253 mln eur turnover .","At 12.01 pm , the OMX Helsinki 25 was down 0.66 pct to 3,143.57 and the OMX Helsinki was 0.67 pct lower at 10,530.74 on 253 mln eur turnover .",-0.296,0.075,0.925,0.0,negative
The figure does not include food exports from Finland .,The figure does not include food exports from Finland .,0.0,0.0,1.0,0.0,neutral
They are also upset that some of the machinery and work is taken over to Poland .,They are also upset that some of the machinery and work is taken over to Poland .,-0.3818,0.148,0.852,0.0,negative
"The operations to be sold include manufacturing units in Finland , France , Poland and Turkey , as well as sales units in Germany and Lithuania .","The operations to be sold include manufacturing units in Finland , France , Poland and Turkey , as well as sales units in Germany and Lithuania .",0.2732,0.0,0.913,0.087,positive
"Operating income was EUR -24.9 mn , including EUR 15.3 mn of restructuring expenses .","Operating income was EUR -24.9 mn , including EUR 15.3 mn of restructuring expenses .",0.0,0.0,1.0,0.0,neutral
The company distributes Hiab 's products as well as other products .,The company distributes Hiab 's products as well as other products .,0.2732,0.0,0.826,0.174,positive
FCC Chairman Kevin Martin said that fair play required extending the same deregulatory rules to the digital subscriber lines that telecom providers use for broadband networks .,FCC Chairman Kevin Martin said that fair play required extending the same deregulatory rules to the digital subscriber lines that telecom providers use for broadband networks .,0.5719,0.0,0.836,0.164,positive
Pretax profit rose to EUR 17.8 mn from EUR 14.9 mn in 2005 .,Pretax profit rose to EUR 17.8 mn from EUR 14.9 mn in 2005 .,0.4404,0.0,0.805,0.195,positive
